c.name,Corrupt/non-corrupt,c.betweenness,c.approxBetweenness,c.closeness,c.pagerank,c.clusteringCoefficient,c.harmonic,c.degree,c.trianglesCount
NORMAX LIMITED,1,6284.533148,20759.9869,0.307340847,4.911272439,0.396666667,0.1121182,25,119
NORTHERN PRODUCTION MANAGEMENT LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
NOVLAND LTD,1,10494.89489,46436.53296,0.235088537,3.687391636,0.072727273,0.085149869,11,4
NUTZEN LIMITED,1,3021,10486.94311,0.156993932,1.706565562,0,0.054523634,4,0
O&G TERMINALS LTD,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
OBJECTIVE SECURITY LTD,0,10,16.94859493,1,2.733658578,0,0.001618123,5,0
ODBODY LIMITED,0,45,190.6716929,1,4.941912148,0,0.003236246,10,0
OFFWIND DEVELOPMENT LTD.,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
ONE DELTA LIMITED,0,28,88.98012337,1,4.058611758,0,0.002588997,8,0
ONEBIZ LTD,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
ONYX FINANCIAL ADVISORS (UK) LIMITED,1,40,211.8574366,0.916666667,2.636020409,0.222222222,0.003398058,10,10
OPTIMAL FLEET SOLUTIONS LIMITED,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
OPTIMUM NUTRITION EMEA LIMITED,1,24822,122411.2269,0.284867307,4.583887108,0.199275362,0.105809447,24,55
ORANGETEK LIMITED,0,10,0,1,2.733658578,0,0.001618123,5,0
OSCAR & ERNFRED LTD,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
OSTRYN BUSINESS LIMITED,1,12559.78729,48060.35896,0.250745527,3.209150123,0.083333333,0.086714055,9,3
OVATECH LTD,0,6,38.13433859,1,2.292007493,0,0.001294498,4,0
PACE GLOBAL ENERGY LIMITED,1,7035,23045.85195,0.220401922,3.256603551,0,0.077943828,8,0
PANALLY LTD.,1,10787.58333,48838.78867,0.192851682,3.676795463,0.145454545,0.070712231,11,8
PARAMOUNT TRAINING GROUP LIMITED,0,45,152.5373544,1,4.941912148,0,0.003236246,10,0
PARKVIEW ESTATES MANAGEMENT LIMITED,1,573.1666667,2927.869774,0.418478261,3.365259523,0.088888889,0.011947141,10,4
PARWICK COMMERCE LIMITED,1,3340.410962,15981.45385,0.306314511,3.576930171,0.625730994,0.110877639,19,107
PEMBERTON RANK LTD,0,15,21.18574366,1,3.175309637,0,0.001941748,6,0
PENCOL PROJECTS LTD,0,5015.50272,21684.3173,0.157533177,2.439271403,0.361111111,0.056168726,9,13
PERFECT PARTNER LTD,1,198,838.9554489,0.382352941,2.213927337,0,0.007227616,5,0
POMPOLO LIMITED,1,3,8.474297464,1,1.850356449,0,0.000970874,3,0
POWER ENTERPRISES LTD.,1,2828.944515,11679.59327,0.312577447,2.057123151,0.563636364,0.109539991,11,31
PRITCAST LIMITED,1,10035,33448.05209,0.282474804,4.697109804,0,0.102842888,11,0
PRODROMOS LIMITED,1,7035,23045.85195,0.282001118,3.378962591,0,0.102195639,8,0
PROJECT BUILDERS (LONDON) LIMITED,0,28,148.3002056,1,4.058611758,0,0.002588997,8,0
PRONADE LTD,1,2683.666667,5533.716244,0.281607591,1.725174591,0.2,0.101602327,5,2
PROSPERO TRADE LTD.,1,2015,4152.405757,0.281215162,1.205622195,0,0.10111689,3,0
PROVAN TRADING LIMITED,1,287,1330.464702,0.528301887,6.932541244,0,0.00631068,15,0
PR-VERT SYSTEM LIMITED,1,8036,33558.21796,0.282158837,3.817871827,0,0.102411389,9,0
QURESH PHARM LTD,0,28,59.32008225,1,4.058611758,0,0.002588997,8,0
RAGTAG TIGER LIMITED,0,28,148.3002056,1,4.058611758,0,0.002588997,8,0
RASMUSSEN TRADING LIMITED,0,10,50.84578478,1,2.733658578,0,0.001618123,5,0
REKART IMPEX LIMITED,1,19362.52242,76812.11468,0.334216628,5.519043487,0.426136364,0.120176452,33,225
REYNOSA MANAGEMENT LTD,1,3354.666667,19702.7416,0.220305677,2.023571168,0.133333333,0.077620203,6,2
RHINO-POWA HOLDINGS LIMITED,0,66,279.6518163,1,5.825213754,0,0.003883495,12,0
RICHPER CAPITAL LIMITED,1,26949.78035,111369.3665,0.282950084,3.133594825,0.666666667,0.101236323,19,114
RIDGENT TRADE LIMITED,1,7511.223775,33960.00547,0.254348374,3.863619479,0.090909091,0.089677531,12,6
RIVERA TRADE LTD,1,2015,4160.880055,0.281215162,1.205622195,0,0.10111689,3,0
RIVERLUX CAPITAL LIMITED,1,10035,37676.72653,0.282474804,4.697109804,0,0.102842888,11,0
RJP CORPORATE SERVICES LTD,0,6,38.13433859,1,2.292007493,0,0.001294498,4,0
ROLLTEX INTER LTD.,1,4915.209643,18034.98,0.315213996,2.729788994,0.504761905,0.110942364,15,53
ROSEDALE IMPEX LTD,1,2015,8423.451679,0.281215162,1.205622195,0,0.10111689,3,0
ROSHEN UK LIMITED,1,3016.290816,12447.74225,0.309509202,3.973509973,0.554112554,0.112522731,22,128
S STEBBEDS LIMITED,0,15,84.74297464,1,3.175309637,0,0.001941748,6,0
SABLOR TRADE LIMITED,1,6033,25219.50925,0.281843575,2.940767951,0,0.101979889,7,0
SALVIA ENTERPRISE LTD,1,78,292.3632625,0.41509434,2.397417078,0,0.003613808,5,0
SAMUEL BUSINESS LTD,1,6621.86153,28212.34689,0.310366041,1.967767,0.416666667,0.109604716,9,15
SANLINE INVEST LTD.,1,4272.342361,22600.30832,0.282158837,2.197772021,0.095238095,0.102195639,7,2
SATELLITE SECURE LIMITED,0,36,67.79437971,1,4.500262794,0,0.002912621,9,0
SAY ANY PRICE LIMITED,0,6,38.13433859,1,2.292007493,0,0.001294498,4,0
SAYMAMA LIMITED,0,21,101.6915696,1,3.616960675,0,0.002265372,7,0
SCALEKA LIMITED,0,66,419.4777245,1,5.825213754,0,0.003883495,12,0
SCIENCE MUSEUM LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
SCKT CORPORATION LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
SEABON LIMITED,1,6033,25219.50925,0.281843575,2.940767951,0,0.101979889,7,0
SELLARIUS LIMITED,0,10,67.79437971,1,2.733658578,0,0.001618123,5,0
SETORA LIMITED,1,3021,10499.65456,0.228901996,1.723565869,0,0.079364309,4,0
SHAMROCK CONSULTING LTD,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
SHAPE ENERGY LIMITED,0,78,355.9204935,1,6.266864739,0,0.00420712,13,0
SHOOTER UK LIMITED,0,15,84.74297464,1,3.175309637,0,0.001941748,6,0
SIVA IT NETWORK SOLUTIONS LTD,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
SMARTER MOBILE LIMITED,1,28,29.66004112,1,4.058611758,0,0.002588997,8,0
SORENTO RESOURCES LTD,1,198,838.9554489,0.382352941,2.213927337,0,0.007227616,5,0
SOURCEX LTD,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
SP4U LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
STAGE ENTERTAINMENT LIMITED,0,36,237.280329,1,4.500262794,0,0.002912621,9,0
STAMTRADE SERVICES LIMITED,1,2015,8414.977382,0.281215162,1.205622195,0,0.10111689,3,0
STARLIGHT CONSTRUCTION LIMITED,1,36,101.6915696,1,4.500262794,0,0.002912621,9,0
STARLIKE TRADE LIMITED,1,1220.09731,7667.041605,0.284947755,1.368019562,0.4,0.102783557,5,4
STARSCHEMER LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
STEEL INVEST GROUP LTD,1,4322.523907,22723.05103,0.300476474,2.687061466,0.327272727,0.106956388,11,18
STENFORD TECHNOLOGY LTD,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
STRAUM MASKIN & TRANSPORTJENESTER LIMITED,0,62.38791486,182.9092426,0.7,2.641737763,0.378787879,0.005339806,12,25
SUPERSTRUCT ENTERTAINMENT LIMITED,0,15,84.74297464,1,3.175309637,0,0.001941748,6,0
SUPREME BIOTECHNOLOGIES LTD,0,165,521.169294,0.95,7.293874071,0.019607843,0.005987055,18,3
SUSHINESS LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
SYMBOL WOOD LIMITED,1,7579.144073,26098.86876,0.309509202,4.622179607,0.43083004,0.112312375,23,109
T. LLOYD BRICKWORK LIMITED,0,15,21.18574366,1,3.175309637,0,0.001941748,6,0
TAGA DUMITRU PETRE 82569 LIMITED,0,10,16.94859493,1,2.733658578,0,0.001618123,5,0
TALEFORD LIMITED,1,245,919.4612748,0.388059701,2.657167774,0,0.007443366,6,0
TAMARIN SOLUTIONS LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
TANIGOLD ASSETS LTD,1,2015,4152.405757,0.281215162,1.205622195,0,0.10111689,3,0
TBJ INVEST LONDON LTD,0,4527,9340.79438,0.281843575,2.512259072,0.095238095,0.101979889,7,2
TECHNOMARK BUSINESS LTD.,1,8795.083333,44772.53827,0.19277799,2.93544748,0.222222222,0.070388606,9,8
TENBY SERVICES LIMITED,1,9381.632415,36986.01661,0.287956621,2.971535922,0.035714286,0.103770612,8,1
TERRALINE LTD,1,3021,14745.27759,0.281372002,1.634753863,0,0.10133264,4,0
THE TIPPING TEAM LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
THE WEALTH COMPANY LIMITED,0,55,169.4859493,1,5.383562947,0,0.003559871,11,0
THERAPYX LIMITED,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
THINK BUSINESS SALES LIMITED,0,45,152.5373544,1,4.941912148,0,0.003236246,10,0
THOMAS HARTLEY LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
THORSTEIN BB LIMITED,0,15,42.37148732,1,3.175309637,0,0.001941748,6,0
TIMEX ALLIANCE LTD.,1,3148.200762,11294.50796,0.282712244,2.284544095,0.388888889,0.102788951,9,14
TINTEL PROJECT LTD,1,6531,24077.59767,0.220691164,3.286034105,0.055555556,0.078375327,9,2
TOMDAL LIMITED,1,154,779.6353667,0.440677966,3.740387478,0,0.004692557,8,0
TOOTH ZONE LIMITED,0,3,0,1,1.850356449,0,0.000970874,3,0
TOTTENHAM MANAGEMENT LTD,1,3021,10499.65456,0.281372002,1.634753863,0,0.10133264,4,0
TRIKOR LTD,1,36134,157028.732,0.286810688,3.020857312,0.035714286,0.103367622,8,1
TRIMMS GREEN LIMITED,1,10035,29261.74914,0.220691164,4.56751727,0,0.078591077,11,0
TRINEX PROJECT LTD.,1,3148.200762,11294.50796,0.282712244,2.284544095,0.388888889,0.102788951,9,14
TRONUS LTD,0,45,152.5373544,1,4.941912148,0,0.003236246,10,0
TUSH ENTERPRISES LTD,1,111,673.7066484,0.448979592,3.300731654,0,0.004045307,7,0
TUSKER88 LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
TYLNEY DIRECTORS LIMITED,1,853.5,3631.236463,0.385714286,5.655541467,0,0.011920173,13,0
TYLNEY SECRETARIES LIMITED,1,853.5,3385.481837,0.385714286,5.655541467,0,0.011920173,13,0
UFINDALOCAL.COM LIMITED,0,78,406.7662783,1,6.266864739,0,0.00420712,13,0
URBAN RECYCLING LIMITED,0,105,355.9204935,1,7.150168464,0,0.004854369,15,0
UXBRIDGE WAFFLES LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
V SMITH COMPANY LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
VALEMONT PROPERTIES LTD,1,9036,44083.29541,0.282316732,4.25729846,0,0.102627138,10,0
VELCONA LIMITED,1,198,1237.24743,0.382352941,2.213927337,0,0.007227616,5,0
VELION LIMITED,1,161.3333333,1009.853781,0.403100775,2.356258903,0.238095238,0.007820928,7,5
VFS EUROPE LIMITED,1,3021,10499.65456,0.281372002,1.634753863,0,0.10133264,4,0
VICTORIA INVEST LIMITED,1,154,855.9040439,0.440677966,3.740387478,0,0.004692557,8,0
VIETNAMESE DELI LTD,0,21,152.5373544,1,3.616960675,0,0.002265372,7,0
VISICOVER LTD,0,36,203.3831391,1,4.500262794,0,0.002912621,9,0
VISOR CAPITAL (UK) LTD,1,306,1021.152844,0.613636364,8.2712587,0,0.006850054,18,0
VISTELL INTERTRADE LTD.,1,1071.600381,6744.675503,0.282553906,1.670259619,0.666666667,0.102465326,7,14
VOXFORD TECHNICS LTD.,1,5981.417875,18973.18648,0.286078821,3.669071677,0.375,0.105593697,16,45
WALK WITH PATH LIMITED,1,10,33.89718986,1,2.733658578,0,0.001618123,5,0
WALL TREND LIMITED,1,5528,34759.44962,0.220642904,2.885903172,0.071428571,0.078213515,8,2
WANDI LIMITED,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
WARLORD PRODUCTIONS LTD,0,38.5,165.2488005,0.705882353,2.937714652,0.095238095,0.003074434,7,2
WEBBER ROWE LIMITED,0,10,50.84578478,1,2.733658578,0,0.001618123,5,0
WEBINVEST LTD,1,2261.765313,14223.10725,0.281686209,1.434424218,0.2,0.101656264,5,2
WESNA LTD,1,6557.935346,19745.41589,0.255120101,3.683274109,0.136363636,0.090071274,12,9
WESTBURN ENTERPRISES LIMITED,1,6033,25219.50925,0.281843575,2.940767951,0,0.101979889,7,0
WESTGAIN LIMITED,1,180,644.0466073,0.435483871,4.262473101,0,0.004908306,9,0
WESTLAKE INTERNATIONAL TRADING LIMITED,1,5030,23130.59493,0.281686209,2.503598688,0,0.101764139,6,0
WHARTON INVESTMENT ASSOCIATES LIMITED,1,23916,99861.12132,0.284706546,10.86966212,0,0.105863384,25,0
WICREATION HOLDING LTD.,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
WILSHIRE VENTURES LTD,1,6033,25194.08636,0.281843575,2.940767951,0,0.101979889,7,0
WINDON & FLANDERS LIMITED,1,29505,127266.9993,0.225979843,3.071615197,0.035714286,0.079834463,8,1
WIZERECRUIT LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
WORD OF MOUTH DENTAL CARE LIMITED,0,21,127.114462,1,3.616960675,0,0.002265372,7,0
ZAA CHEMICALS LIMITED,0,10,0,1,2.733658578,0,0.001618123,5,0
ZERO FIRE LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
